circuitId,constructorId,avg_lap_time,total_laps,name_circuit,name_constructor
1,215,84876.47826086957,115,albert park grand prix circuit,rb f1 team
1,211,90440.78947368421,114,albert park grand prix circuit,racing point
1,12,93105.31818181818,66,albert park grand prix circuit,spyker
1,7,95111.01646706587,668,albert park grand prix circuit,toyota
1,11,96319.96140350877,285,albert park grand prix circuit,honda
1,2,96355.80516431924,426,albert park grand prix circuit,bmw sauber
1,4,96358.22803030303,1320,albert park grand prix circuit,renault
1,16,96512.8009868421,608,albert park grand prix circuit,bar
1,6,96814.84067663258,2542,albert park grand prix circuit,ferrari
1,3,97111.2107364685,2254,albert park grand prix circuit,williams
1,208,97334.62348178138,247,albert park grand prix circuit,lotus f1
1,15,97427.86930455636,1668,albert park grand prix circuit,sauber
1,5,97506.45474777448,1348,albert park grand prix circuit,toro rosso
1,23,97520.47413793103,116,albert park grand prix circuit,brawn
1,8,98246.73622047243,254,albert park grand prix circuit,super aguri
1,10,98258.24213536702,1049,albert park grand prix circuit,force india
1,1,98574.49012010849,2581,albert park grand prix circuit,mclaren
1,17,98630.98519736843,608,albert park grand prix circuit,jordan
1,24,98727.53846153847,143,albert park grand prix circuit,stewart
1,207,98776.0616113744,211,albert park grand prix circuit,caterham
1,131,98973.60530679933,1206,albert park grand prix circuit,mercedes
1,27,99116.43362831858,113,albert park grand prix circuit,ligier
1,9,99218.57054070852,1609,albert park grand prix circuit,red bull
1,205,99382.70229007634,131,albert park grand prix circuit,lotus
1,22,99756.91005291005,567,albert park grand prix circuit,benetton
1,20,99939.98441558442,385,albert park grand prix circuit,prost
1,29,100170.2957746479,71,albert park grand prix circuit,footwork
1,210,100654.45860927152,604,albert park grand prix circuit,haas f1 team
1,214,100812.62463343109,341,albert park grand prix circuit,alpine f1 team
1,19,101337.227154047,383,albert park grand prix circuit,jaguar
1,206,101997.76452599389,327,albert park grand prix circuit,marussia
1,25,102275.01098901099,182,albert park grand prix circuit,tyrrell
1,18,103428.59059474412,723,albert park grand prix circuit,minardi
1,13,104466.03157894737,95,albert park grand prix circuit,mf1
1,21,108020.22950819672,305,albert park grand prix circuit,arrows
1,164,109263.52631578948,57,albert park grand prix circuit,hrt
1,166,111844.66470588236,170,albert park grand prix circuit,virgin
1,209,113358.38356164383,73,albert park grand prix circuit,manor marussia
1,51,113710.31502890174,346,albert park grand prix circuit,alfa romeo
1,117,114044.81730769231,312,albert park grand prix circuit,aston martin
1,213,116968.40174672489,229,albert park grand prix circuit,alphatauri
2,11,99727.78012048193,332,sepang international circuit,honda
2,2,100007.37047353761,359,sepang international circuit,bmw sauber
2,4,101267.14866032843,1157,sepang international circuit,renault
2,7,101642.95799457995,738,sepang international circuit,toyota
2,210,101828.0,156,sepang international circuit,haas f1 team
2,13,101948.63888888889,108,sepang international circuit,mf1
2,8,102234.9475409836,305,sepang international circuit,super aguri
2,16,102606.32992327366,391,sepang international circuit,bar
2,24,103989.48214285714,112,sepang international circuit,stewart
2,19,106232.19,400,sepang international circuit,jaguar
2,17,107374.71746575342,584,sepang international circuit,jordan
2,6,107929.2539083558,1855,sepang international circuit,ferrari
2,23,108203.29032258065,62,sepang international circuit,brawn
2,1,108551.71167048055,1748,sepang international circuit,mclaren
2,166,108602.15894039735,151,sepang international circuit,virgin
2,12,109255.42857142857,7,sepang international circuit,spyker
2,3,109397.20432692308,1664,sepang international circuit,williams
2,21,109831.48660714286,224,sepang international circuit,arrows
2,18,109970.86236933798,574,sepang international circuit,minardi
2,209,109989.65030674846,163,sepang international circuit,manor marussia
2,9,110448.18923076923,1300,sepang international circuit,red bull
2,15,111237.17940199336,1204,sepang international circuit,sauber
2,22,111806.6501650165,303,sepang international circuit,benetton
2,5,112489.76,1125,sepang international circuit,toro rosso
2,205,112492.67403314917,181,sepang international circuit,lotus
2,131,114505.95793269231,832,sepang international circuit,mercedes
2,10,115559.0023557126,849,sepang international circuit,force india
2,20,116185.97005988024,167,sepang international circuit,prost
2,208,120903.53731343284,335,sepang international circuit,lotus f1
2,207,133920.87234042553,329,sepang international circuit,caterham
2,206,138791.63571428572,280,sepang international circuit,marussia
2,164,139443.0586080586,273,sepang international circuit,hrt
3,211,89422.432748538,342,bahrain international circuit,racing point
3,16,94590.38502673797,187,bahrain international circuit,bar
3,213,95140.91297208538,609,bahrain international circuit,alphatauri
3,210,95375.3482428115,939,bahrain international circuit,haas f1 team
3,19,95392.01785714286,112,bahrain international circuit,jaguar
3,51,96346.48780487805,738,bahrain international circuit,alfa romeo
3,7,96825.53755522828,679,bahrain international circuit,toyota
3,23,96966.16666666667,114,bahrain international circuit,brawn
3,4,97085.54407294832,1316,bahrain international circuit,renault
3,17,97426.95238095238,168,bahrain international circuit,jordan
3,2,97569.92,425,bahrain international circuit,bmw sauber
3,11,97990.96326530613,245,bahrain international circuit,honda
3,215,98463.60714285714,112,bahrain international circuit,rb f1 team
3,13,98466.23636363636,55,bahrain international circuit,mf1
3,1,98980.67494145199,2135,bahrain international circuit,mclaren
3,131,99397.66552511415,1752,bahrain international circuit,mercedes
3,6,100096.308216069,2203,bahrain international circuit,ferrari
3,3,100296.53413120567,2256,bahrain international circuit,williams
3,117,100494.73951434878,453,bahrain international circuit,aston martin
3,9,100866.70662620131,1977,bahrain international circuit,red bull
3,15,101140.1839708561,1098,bahrain international circuit,sauber
3,18,101140.28571428571,203,bahrain international circuit,minardi
3,214,101250.64720194647,411,bahrain international circuit,alpine f1 team
3,208,102457.8945054945,455,bahrain international circuit,lotus f1
3,5,102885.40777576853,1106,bahrain international circuit,toro rosso
3,10,102925.6073674753,1113,bahrain international circuit,force india
3,8,103212.05263157895,285,bahrain international circuit,super aguri
3,209,103430.14479638009,221,bahrain international circuit,manor marussia
3,12,104128.98148148147,108,bahrain international circuit,spyker
3,207,104199.90415335463,313,bahrain international circuit,caterham
3,206,105281.28289473684,304,bahrain international circuit,marussia
3,164,109555.90625,128,bahrain international circuit,hrt
3,205,128282.09677419355,93,bahrain international circuit,lotus
3,166,130677.88888888889,18,bahrain international circuit,virgin
4,215,82372.36923076923,130,circuit de barcelona-catalunya,rb f1 team
4,214,84725.04571428572,525,circuit de barcelona-catalunya,alpine f1 team
4,117,84975.37739463602,522,circuit de barcelona-catalunya,aston martin
4,7,85436.42379182157,807,circuit de barcelona-catalunya,toyota
4,11,85622.86629526463,359,circuit de barcelona-catalunya,honda
4,13,85684.53153153154,111,circuit de barcelona-catalunya,mf1
4,213,85743.2251082251,462,circuit de barcelona-catalunya,alphatauri
4,211,85791.74166666667,240,circuit de barcelona-catalunya,racing point
4,16,85991.72626582278,632,circuit de barcelona-catalunya,bar
4,51,86169.92868719611,617,circuit de barcelona-catalunya,alfa romeo
4,19,86205.56818181818,396,circuit de barcelona-catalunya,jaguar
4,2,86451.32341269842,504,circuit de barcelona-catalunya,bmw sauber
4,4,86814.80820335067,1731,circuit de barcelona-catalunya,renault
4,6,87481.73920917597,3313,circuit de barcelona-catalunya,ferrari
4,8,87502.76190476191,273,circuit de barcelona-catalunya,super aguri
4,210,87578.03199268739,1094,circuit de barcelona-catalunya,haas f1 team
4,131,87633.50170261067,1762,circuit de barcelona-catalunya,mercedes
4,9,87694.95959183674,2450,circuit de barcelona-catalunya,red bull
4,12,87735.43650793651,126,circuit de barcelona-catalunya,spyker
4,1,87767.52502302732,3257,circuit de barcelona-catalunya,mclaren
4,20,88107.83,500,circuit de barcelona-catalunya,prost
4,24,88321.64350453172,331,circuit de barcelona-catalunya,stewart
4,21,88334.10273972603,438,circuit de barcelona-catalunya,arrows
4,3,88454.50723379629,3456,circuit de barcelona-catalunya,williams
4,23,88571.66666666667,132,circuit de barcelona-catalunya,brawn
4,17,88837.72100656455,914,circuit de barcelona-catalunya,jordan
4,15,89623.56769699608,2297,circuit de barcelona-catalunya,sauber
4,18,90132.09801136363,704,circuit de barcelona-catalunya,minardi
4,5,90770.7048424289,1301,circuit de barcelona-catalunya,toro rosso
4,22,91512.73136427566,711,circuit de barcelona-catalunya,benetton
4,10,91738.68104149716,1229,circuit de barcelona-catalunya,force india
4,208,92609.61659192825,446,circuit de barcelona-catalunya,lotus f1
4,25,93028.88648648649,185,circuit de barcelona-catalunya,tyrrell
4,205,93589.10857142857,175,circuit de barcelona-catalunya,lotus
4,207,94202.20063694268,314,circuit de barcelona-catalunya,caterham
4,206,94253.78309859155,355,circuit de barcelona-catalunya,marussia
4,166,94551.244,250,circuit de barcelona-catalunya,virgin
4,164,96002.41293532339,201,circuit de barcelona-catalunya,hrt
4,209,96545.27450980392,255,circuit de barcelona-catalunya,manor marussia
4,29,112671.14893617021,47,circuit de barcelona-catalunya,footwork
4,27,115339.203125,64,circuit de barcelona-catalunya,ligier
5,16,88777.5775862069,116,istanbul park,bar
5,23,90202.9619047619,105,istanbul park,brawn
5,7,91033.12347826087,575,istanbul park,toyota
5,2,91555.7852494577,461,istanbul park,bmw sauber
5,11,91911.38372093023,344,istanbul park,honda
5,15,92842.34493670886,316,istanbul park,sauber
5,17,92878.48181818181,110,istanbul park,jordan
5,5,93148.30427631579,608,istanbul park,toro rosso
5,10,93454.58083832335,334,istanbul park,force india
5,1,93518.42581300813,984,istanbul park,mclaren
5,4,93542.2803030303,924,istanbul park,renault
5,9,93625.28189300411,972,istanbul park,red bull
5,13,94699.43478260869,46,istanbul park,mf1
5,6,94951.89085545723,1017,istanbul park,ferrari
5,18,95494.82524271845,103,istanbul park,minardi
5,12,95524.33944954128,109,istanbul park,spyker
5,3,95581.23953488372,860,istanbul park,williams
5,214,96223.20175438597,114,istanbul park,alpine f1 team
5,117,96227.01739130435,115,istanbul park,aston martin
5,205,96440.47752808989,178,istanbul park,lotus
5,131,97165.38444924405,463,istanbul park,mercedes
5,166,97484.7530120482,166,istanbul park,virgin
5,164,99323.0145631068,206,istanbul park,hrt
5,8,101569.63483146067,178,istanbul park,super aguri
5,51,101709.0,182,istanbul park,alfa romeo
5,213,101758.68558951965,229,istanbul park,alphatauri
5,210,104513.04629629629,216,istanbul park,haas f1 team
5,211,106746.6551724138,116,istanbul park,racing point
6,23,77539.93589743589,156,circuit de monaco,brawn
6,12,80818.68292682926,123,circuit de monaco,spyker
6,211,80899.94155844155,154,circuit de monaco,racing point
6,8,81062.61904761905,273,circuit de monaco,super aguri
6,13,82023.61437908496,153,circuit de monaco,mf1
6,7,83709.46812227074,1145,circuit de monaco,toyota
6,4,83834.5306122449,1813,circuit de monaco,renault
6,2,84740.11586452763,561,circuit de monaco,bmw sauber
6,210,84768.57620041753,958,circuit de monaco,haas f1 team
6,11,85376.2,460,circuit de monaco,honda
6,19,85418.31890660593,439,circuit de monaco,jaguar
6,16,85751.42034548945,521,circuit de monaco,bar
6,21,85840.89455782314,588,circuit de monaco,arrows
6,5,86603.17504332756,1731,circuit de monaco,toro rosso
